"location","date","total_deaths_per_million","population_density","human_development_index"
"Macao","2021-06-01",0,20546.766,0
"Monaco","2021-06-01",835.02,19347.5,0
"Singapore","2021-06-01",6.051,7915.731,0.938
"Hong Kong","2021-06-01",27.804,7039.714,0.949
"Gibraltar","2021-06-01",2790.063,3457.1,0
"Bahrain","2021-06-01",577.134,1935.907,0.852
"Maldives","2021-06-01",310.879,1454.433,0.74
"Malta","2021-06-01",811.858,1454.037,0.895
"Bermuda","2021-06-01",531.469,1308.82,0
"Bangladesh","2021-06-01",76.126,1265.036,0.632
"Sint Maarten (Dutch part)","2021-06-01",0,1209.088,0
"Palestine","2021-06-01",670.719,778.202,0.708
"Nauru","2021-06-01",0,682.45,0
"Barbados","2021-06-01",163.36,664.463,0.814
"Mauritius","2021-06-01",14.135,622.962,0.804
"Lebanon","2021-06-01",1142.684,594.561,0.744
"Aruba","2021-06-01",998.181,584.8,0
"San Marino","2021-06-01",2646.281,556.667,0
"South Korea","2021-06-01",38.3,527.967,0.916
"Netherlands","2021-06-01",1028.353,508.544,0.944
"Rwanda","2021-06-01",26.89,494.869,0.543
"India","2021-06-01",240.491,450.419,0.645
"Comoros","2021-06-01",164.33,437.352,0.554
"Burundi","2021-06-01",0.49,423.062,0.433
"Israel","2021-06-01",690.238,402.606,0.919
"Haiti","2021-06-01",27.466,398.448,0.51
"Puerto Rico","2021-06-01",0,376.232,0
"Belgium","2021-06-01",2146.431,375.564,0.931
"Tuvalu","2021-06-01",0,373.067,0
"Curacao","2021-06-01",740.309,362.644,0
"Philippines","2021-06-01",189.217,351.873,0.718
"Japan","2021-06-01",104.402,347.778,0.919
"Sri Lanka","2021-06-01",69.032,341.955,0.782
"Grenada","2021-06-01",8.848,317.132,0.779
"Vietnam","2021-06-01",0.489,308.127,0.704
"El Salvador","2021-06-01",345.478,307.811,0.673
"United States Virgin Islands","2021-06-01",0,306.48,0
"Guam","2021-06-01",0,304.128,0
"Marshall Islands","2021-06-01",0,295.15,0.704
"Saint Lucia","2021-06-01",428.414,293.187,0.759
"Saint Vincent and the Grenadines","2021-06-01",107.847,281.787,0.738
"United Kingdom","2021-06-01",1874.702,272.898,0.932
"Trinidad and Tobago","2021-06-01",361.272,266.886,0.796
"Jamaica","2021-06-01",319.157,266.879,0.734
"Cayman Islands","2021-06-01",30.076,256.496,0
"Pakistan","2021-06-01",92.94,255.573,0.557
"Germany","2021-06-01",1055.954,237.016,0.947
"Liechtenstein","2021-06-01",1490.04,237.012,0.919
"Kuwait","2021-06-01",410.068,232.128,0.806
"Antigua and Barbuda","2021-06-01",425.411,231.845,0.778
"Luxembourg","2021-06-01",1286.991,231.447,0.916
"Qatar","2021-06-01",191.092,227.322,0.848
"Dominican Republic","2021-06-01",331.76,222.873,0.756
"Switzerland","2021-06-01",1229.075,214.243,0.955
"Uganda","2021-06-01",7.682,213.759,0.544
"Saint Kitts and Nevis","2021-06-01",0,212.865,0.779
"Sao Tome and Principe","2021-06-01",183.557,212.841,0.625
"North Korea","2021-06-01",0,211.701,0
"Nigeria","2021-06-01",9.929,209.588,0.539
"Seychelles","2021-06-01",404.408,208.354,0.796
