"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2016","2016",1596.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2017","2017",1587.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2016","2016",5537.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2017","2017",5373.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2018","2018",5264.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2019","2019",5085.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2016","2016",4515.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2017","2017",4258.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2018","2018",4264.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2019","2019",4098.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2016","2016",4397,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2017","2017",4181,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2018","2018",4125,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2016","2016",2557,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2017","2017",2550,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2018","2018",2594,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2016","2016",563,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2017","2017",545,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2018","2018",567,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2016","2016",1076,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2017","2017",1012,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2018","2018",961,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2016","2016",1124,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2017","2017",1152,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2018","2018",1095,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2019","2019",1106,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2016","2016",4817,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2017","2017",4722,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2018","2018",4777,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2016","2016",1282,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2017","2017",1232,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2018","2018",1224,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2019","2019",1212,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2016","2016",2235,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2017","2017",2255,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2018","2018",2315,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2019","2019",2272,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2016","2016",4206.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2017","2017",3992.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2018","2018",3603.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2019","2019",3134,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2020","2020",2589.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2016","2016",1627,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2016","2016",4110,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2017","2017",4076,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2018","2018",4019,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2019","2019",4041,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2016","2016",4875.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2017","2017",4584.2,,
