"Country","total_deaths","hdi","gdp","poverty","cardiovascular","diabetes","Aids","Hepatitis","Measles","Pertussis","Low_bw"
"Afghanistan",7501,0.511,1803.987,NA,597.029,9.59,0,0,0,0,0
"Albania",3414,0.795,11803.431,1.1,304.195,10.08,0,0,0,0,0
"Algeria",6744,0.748,13913.839,0.5,278.364,6.73,0,0,0,0,0
"Angola",1898,0.581,5819.495,NA,276.045,3.94,0,0,0,0,0
"Antigua and Barbuda",134,0.778,21490.943,NA,191.511,13.17,0,0,0,0,0
"Argentina",124349,0.845,18933.907,0.6,191.032,5.5,0,0,0,0,0
"Armenia",8186,0.776,8787.58,1.8,341.01,7.11,0,0,0,0,0
"Azerbaijan",9077,0.756,15847.419,NA,559.812,7.11,0,0,0,0,0
"Bahamas",766,0.814,27717.847,NA,235.954,13.17,0,0,0,0,0
"Bahrain",1427,0.852,43290.705,NA,151.689,16.52,0,0,0,0,0
"Bangladesh",28838,0.632,3523.984,14.8,298.003,8.38,0,0,0,0,0
"Barbados",299,0.814,16978.068,NA,170.05,13.57,0,0,0,0,0
"Belarus",6265,0.823,17167.967,NA,443.129,5.18,0,0,0,0,0
"Belize",632,0.716,7824.362,NA,176.957,17.11,0,0,0,0,0
"Benin",163,0.545,2064.236,49.6,235.848,0.99,0,0,0,0,0
"Bhutan",5,0.654,8708.597,1.5,217.066,9.75,0,0,0,0,0
"Bolivia",21314,0.718,6885.829,7.1,204.299,6.89,0,0,0,0,0
"Bosnia and Herzegovina",15096,0.78,11713.895,0.2,329.635,10.08,0,0,0,0,0
"Botswana",2603,0.735,15807.374,NA,237.372,4.81,0,0,0,0,0
"Brazil",639151,0.765,14103.452,3.4,177.961,8.11,0,0,0,0,0
"Brunei",98,0.838,71809.251,NA,201.285,12.79,0,0,0,0,0
"Bulgaria",34591,0.816,18563.307,1.5,424.688,5.81,0,0,0,0,0
"Burkina Faso",375,0.452,1703.102,43.7,269.048,2.42,0,0,0,0,0
"Burundi",38,0.433,702.225,71.7,293.068,6.05,0,0,0,0,0
"Cambodia",3015,0.594,3645.07,NA,270.892,4,0,0,0,0,0
"Cameroon",1915,0.563,3364.926,23.8,244.661,7.2,0,0,0,0,0
"Cape Verde",400,0.665,6222.554,NA,182.219,2.42,0,0,0,0,0
"Central African Republic",113,0.397,661.24,NA,435.727,6.1,0,0,0,0,0
"Chad",190,0.398,1768.153,38.4,280.995,6.1,0,0,0,0,0
"Chile",40666,0.851,22767.037,1.3,127.993,8.46,605.02,5.56,0.04,2.98,6.7
"China",4619,0.761,15308.712,0.7,261.899,9.74,0,0,0,0,0
"Colombia",137301,0.767,13254.949,4.5,124.24,7.44,4858.6,3.675,11.15,17.675,9.175
"Comoros",160,0.554,1413.89,18.1,261.516,11.88,0,0,0,0,0
"Congo",375,0.574,4881.406,37,344.094,7.2,0,0,0,0,0
"Costa Rica",7806,0.81,15524.995,1.3,137.973,8.78,496.9,3.8,0.04,0.56,7.35
"Cote d'Ivoire",791,0.538,3601.006,28.2,303.74,2.42,0,0,0,0,0
"Croatia",14537,0.851,22669.797,0.7,253.782,5.59,0,0,0,0,0
"Cuba",8476,0.783,NA,NA,190.968,8.27,0,0,0,0,0
"Democratic Republic of Congo",1316,0.48,808.133,77.1,318.949,6.1,0,0,0,0,0
"Djibouti",189,0.524,2705.406,22.5,258.037,6.05,0,0,0,0,0
"Dominica",53,0.742,9673.367,NA,227.376,11.62,0,0,0,0,0
"Dominican Republic",4347,0.756,14600.861,1.6,266.653,8.2,0,0,0,0,0
"Ecuador",22398,0.759,10581.936,3.6,140.448,5.55,0,0,0,0,0
"Egypt",23409,0.707,10550.206,1.3,525.432,17.31,0,0,0,0,0
"El Salvador",4002,0.673,7292.458,2.2,167.295,8.87,0,0,0,0,0
"Equatorial Guinea",182,0.592,22604.873,NA,202.812,7.78,0,0,0,0,0
"Eritrea",103,0.459,1510.459,NA,311.11,6.05,0,0,0,0,0
"Eswatini",1384,0.611,7738.975,NA,333.436,3.94,0,0,0,0,0
"Ethiopia",7426,0.485,1729.927,26.7,182.634,7.47,0,0,0,0,0
"Fiji",820,0.743,8702.975,1.4,412.82,14.49,0,0,0,0,0
"Gabon",302,0.703,16562.413,3.4,259.967,7.2,0,0,0,0,0
"Gambia",365,0.496,1561.767,10.1,331.43,1.91,0,0,0,0,0
"Georgia",15577,0.812,9745.079,4.2,496.218,7.11,0,0,0,0,0
"Ghana",1426,0.611,4227.63,12,298.245,4.97,0,0,0,0,0
"Grenada",213,0.779,13593.877,NA,243.964,10.71,0,0,0,0,0
"Guatemala",16643,0.663,7423.808,8.7,155.898,10.18,0,0,0,0,0
"Guinea",436,0.477,1998.926,35.3,336.717,2.42,0,0,0,0,0
"Guinea-Bissau",164,0.48,1548.675,67.1,382.474,2.42,0,0,0,0,0
"Guyana",1196,0.682,7435.047,NA,373.159,11.62,0,0,0,0,0
"Haiti",807,0.51,1653.173,23.5,430.548,6.65,0,0,0,0,0
"Honduras",10512,0.634,4541.795,16,240.208,7.21,0,0,0,0,0
"India",501984,0.645,6426.674,21.2,282.28,10.39,0,0,0,0,0
"Indonesia",145176,0.718,11188.744,5.7,342.864,6.32,0,0,0,0,0
"Iran",133886,0.783,19082.62,0.2,270.308,9.59,0,0,0,0,0
"Iraq",24729,0.674,15663.986,2.5,218.612,8.83,0,0,0,0,0
"Jamaica",2750,0.734,8193.571,NA,206.537,11.28,0,0,0,0,0
"Jordan",13532,0.729,8337.49,0.1,208.257,11.75,0,0,0,0,0
"Kazakhstan",18781,0.825,24055.588,0.1,466.792,7.11,0,0,0,0,0
"Kenya",5632,0.601,2993.028,36.8,218.637,2.92,0,0,0,0,0
"Kiribati",3,0.63,1981.132,NA,434.657,22.66,0,0,0,0,0
"Kuwait",2521,0.806,65530.537,NA,132.235,15.84,0,0,0,0,0
"Kyrgyzstan",2930,0.697,3393.474,1.4,436.362,7.11,0,0,0,0,0
"Laos",597,0.613,6397.36,22.7,368.111,4,0,0,0,0,0
"Lebanon",9855,0.744,13367.565,NA,266.591,12.71,0,0,0,0,0
"Lesotho",696,0.527,2851.153,59.6,405.126,3.94,0,0,0,0,0
"Liberia",290,0.48,752.788,38.6,272.509,2.42,0,0,0,0,0
"Libya",6135,0.724,17881.509,NA,341.862,10.43,0,0,0,0,0
"Madagascar",1335,0.528,1416.44,77.6,405.994,3.94,0,0,0,0,0
"Malawi",2598,0.483,1095.042,71.4,227.349,3.94,0,0,0,0,0
"Malaysia",32149,0.81,26808.164,0.1,260.942,16.74,0,0,0,0,0
"Maldives",289,0.74,15183.616,NA,164.905,9.19,0,0,0,0,0
"Mali",716,0.434,2014.306,NA,268.024,2.42,0,0,0,0,0
"Mauritania",973,0.546,3597.633,6,232.347,2.42,0,0,0,0,0
"Mauritius",786,0.804,20292.745,0.5,224.644,22.02,0,0,0,0,0
"Mexico",308547,0.779,17336.469,2.5,152.783,13.06,3080.0125,0.55,0,0.7,6.375
"Moldova",10377,0.75,5189.972,0.2,408.502,5.72,0,0,0,0,0
"Mongolia",2148,0.737,11840.846,0.5,460.043,4.82,0,0,0,0,0
"Montenegro",2638,0.829,16409.288,1,387.305,10.08,0,0,0,0,0
"Morocco",15802,0.686,7485.013,1,419.146,7.14,0,0,0,0,0
"Mozambique",2189,0.456,1136.103,62.9,329.942,3.3,0,0,0,0,0
"Myanmar",19311,0.583,5591.597,6.4,202.104,4.61,0,0,0,0,0
"Namibia",3995,0.646,9541.808,13.4,243.811,3.94,0,0,0,0,0
"Nepal",11900,0.602,2442.804,15,260.797,7.26,0,0,0,0,0
"Nicaragua",222,0.66,5321.444,3.2,137.016,11.47,0,0,0,0,0
"Niger",303,0.394,926,44.5,238.339,2.42,0,0,0,0,0
"Nigeria",3141,0.539,5338.454,NA,181.013,2.42,0,0,0,0,0
"North Macedonia",8768,0.774,13111.214,5,322.688,10.08,0,0,0,0,0
"Oman",4211,0.813,37960.709,NA,266.342,12.61,0,0,0,0,0
"Pakistan",29828,0.557,5034.708,4,423.031,8.35,0,0,0,0,0
"Palau",4,0.826,13240.405,NA,NA,15.89,0,0,0,0,0
"Palestine",5283,0.708,4449.898,1,265.91,10.59,0,0,0,0,0
"Panama",7950,0.815,22267.037,2.2,128.346,8.33,0,0,0,0,0
"Papua New Guinea",610,0.555,3823.194,NA,561.494,17.65,0,0,0,0,0
"Paraguay",17964,0.728,8827.01,1.7,199.128,8.27,0,0,0,0,0
"Peru",208466,0.777,12236.706,3.5,85.755,5.95,0,0,0,0,0
"Philippines",55094,0.718,7599.188,NA,370.437,7.07,0,0,0,0,0
"Qatar",658,0.848,116935.6,NA,176.69,16.52,0,0,0,0,0
"Romania",61676,0.828,23313.199,5.7,370.946,9.74,0,0,0,0,0
"Russia",334093,0.824,24765.954,0.1,431.297,6.18,0,0,0,0,0
"Rwanda",1452,0.543,1854.211,56,191.375,4.28,0,0,0,0,0
"Saint Kitts and Nevis",40,0.779,24654.385,NA,NA,12.84,0,0,0,0,0
"Saint Lucia",347,0.759,12951.839,NA,204.62,11.62,0,0,0,0,0
"Saint Vincent and the Grenadines",103,0.738,10727.146,NA,252.675,11.62,0,0,0,0,0
"Sao Tome and Principe",71,0.625,3052.714,32.3,270.113,2.42,0,0,0,0,0
"Senegal",1957,0.512,2470.58,38,241.219,2.42,0,0,0,0,0
"Serbia",14494,0.806,14048.881,NA,439.415,10.08,0,0,0,0,0
"Seychelles",157,0.796,26382.287,1.1,242.648,10.55,0,0,0,0,0
"Sierra Leone",125,0.452,1390.3,52.2,325.721,2.42,0,0,0,0,0
"Solomon Islands",61,0.567,2205.923,25.1,459.78,18.68,0,0,0,0,0
"South Africa",96699,0.709,12294.876,18.9,200.38,5.52,0,0,0,0,0
"South Sudan",137,0.433,1569.888,NA,280.775,10.43,0,0,0,0,0
"Sri Lanka",15844,0.782,11669.077,0.7,197.093,10.68,0,0,0,0,0
"Sudan",3831,0.51,4466.507,NA,431.388,15.67,0,0,0,0,0
"Suriname",1303,0.738,13767.119,NA,258.314,12.54,0,0,0,0,0
"Syria",3032,0.567,NA,NA,376.264,NA,0,0,0,0,0
"Tajikistan",125,0.668,2896.913,4.8,427.698,7.11,0,0,0,0,0
"Tanzania",792,0.529,2683.304,49.1,217.288,5.75,0,0,0,0,0
"Thailand",22489,0.777,16277.671,0.1,109.861,7.04,0,0,0,0,0
"Timor",124,0.606,6570.102,30.3,335.346,6.86,0,0,0,0,0
"Togo",271,0.515,1429.813,49.2,280.033,6.15,0,0,0,0,0
"Trinidad and Tobago",3531,0.796,28763.071,NA,228.467,10.97,0,0,0,0,0
"Tunisia",27119,0.74,10849.297,2,318.991,8.52,0,0,0,0,0
"Turkey",90808,0.82,25129.341,0.2,171.285,12.13,55.05,1.7,1.125,0.125,8
"Uganda",3579,0.544,1697.707,41.6,213.333,2.5,0,0,0,0,0
"Ukraine",109788,0.779,7894.393,0.1,539.849,7.11,0,0,0,0,0
"Uruguay",6778,0.817,20551.409,0.1,160.708,6.93,0,0,0,0,0
"Uzbekistan",1604,0.72,6253.104,NA,724.417,7.57,0,0,0,0,0
"Vanuatu",1,0.609,2921.909,13.2,546.3,12.02,0,0,0,0,0
"Venezuela",5549,0.711,16745.022,NA,204.85,6.47,0,0,0,0,0
"Vietnam",39037,0.704,6171.884,2,245.465,6,0,0,0,0,0
"Yemen",2107,0.47,1479.147,18.8,495.003,5.35,0,0,0,0,0
"Zambia",3938,0.584,3689.251,57.5,234.499,3.94,0,0,0,0,0
"Zimbabwe",5374,0.571,1899.775,21.4,307.846,1.82,0,0,0,0,0
